adresse_code,patient_code,pays_code,ville,code_postal,rue,numero_rue,date_debut_validite,date_fin_validite,date_creation,date_derniere_modification
ADR_0000001,PAT_00001,CH,Hebert,5712,chemin de Léger,115,1961-02-02,1966-01-30,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000002,PAT_00001,FR,Rossi-les-Bains,90315,rue Michelle Humbert,83,1966-06-07,1970-03-13,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000003,PAT_00001,IT,Baudry-sur-Rousseau,14642,rue de Dijoux,138,1970-10-14,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000004,PAT_00002,CH,Duval,7682,rue Gomes,76,1980-10-24,1984-06-16,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000005,PAT_00002,IT,Ollivier-sur-Mer,69716,boulevard Barre,76,1984-10-14,1988-01-03,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000006,PAT_00002,CH,Sainte Célinenec,9205,avenue Clémence Da Silva,9,1988-05-09,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000007,PAT_00003,CH,Lopez,3900,avenue de Hamel,161,1989-02-18,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000008,PAT_00004,DE,Petit-sur-Mer,17893,rue de Mercier,165,1975-06-16,1977-04-20,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000009,PAT_00004,FR,Hubert-sur-Poirier,60241,chemin Martine Lopez,123,1977-10-05,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000010,PAT_00005,CH,Thierry,9554,chemin Danielle Gilbert,187,2011-12-20,2016-05-03,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000011,PAT_00005,CH,Saint Lorraine,8277,chemin Alexandria Renaud,161,2016-07-11,2018-03-02,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000012,PAT_00005,DE,Leclerc,45411,boulevard de Fernandes,80,2018-09-25,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000013,PAT_00006,IT,Ribeiro,99126,chemin de Dos Santos,86,1984-06-10,1986-06-10,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000014,PAT_00006,DE,Lecoq,22573,avenue Bernard Maillot,125,1987-01-04,1989-06-29,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000015,PAT_00006,FR,Sainte Yvesdan,68453,rue de Antoine,78,1989-11-21,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000016,PAT_00007,DE,Regnier,18778,rue de Riou,86,2010-01-23,2012-09-24,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000017,PAT_00007,CH,Brun,4367,rue Célina Blanc,196,2013-08-29,2018-05-11,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000018,PAT_00007,CH,Massonnec,5003,boulevard Lefort,199,2018-08-26,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000019,PAT_00008,CH,Delormedan,1017,chemin de Leduc,164,1985-09-25,,2025-01-01 00:00:00,2025-01-01 00:00:00
