patient_code,prenom,nom,sexe_code,date_naissance,ville_naissance,pays_naissance_code,nationalite_code,date_deces,ville_deces,etat_civil_code,numero_securite_sociale,confession_code,indicateur_vip,date_creation,date_derniere_modification
PAT_00001,Léon,Fischer,M,1952-12-15,Saint Margaud-sur-Mer,CH,DE,,,MA,5931034131647,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00002,Pénélope,Charpentier,M,1973-06-07,Saint Eugènenec,IT,IT,,,IN,8327648350305,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00003,Roger,De Sousa,F,1986-12-11,Goncalves,FR,FR,,,VE,3884969653287,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00004,Alexandrie,Monnier,F,1957-03-21,Leconte,FR,FR,,,VE,7848018451462,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00005,René,Boutin,F,2009-09-25,Saint Élisabeth-sur-Mer,FR,FR,,,MA,9325288095701,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00006,Isaac,Pinto,M,1969-04-02,Dupuy-sur-Mer,FR,CH,,,MA,8227824896383,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00007,Marianne,Germain,M,1992-11-12,Saint Valentine,DE,DE,,,MA,9839301031051,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00008,Arthur,Gomes,F,1981-04-18,RoyerBourg,FR,FR,,,SE,6311656670106,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00009,Marcel,Duhamel,M,1956-04-07,Lecomte,FR,FR,,,DI,1781080132677,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00010,Marcelle,Didier,F,1953-03-13,Weissdan,CH,IT,,,VE,8723430980500,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00011,Guy,Aubry,M,1983-03-02,Hoarau,CH,CH,,,SE,1939909169985,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00012,Noémi,Guilbert,M,1995-06-08,Charlesnec,IT,IT,,,IN,1079911838425,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
